Title,Genres,Rank,Popularity,Score,Episodes,Episode length,Release Date
Great Mazinger,"Action,Sci-Fi",3571,7268,7.07,56,25 min. per ep.,Fall 1974
ef: A Tale of Memories. - Prologue,,3568,3489,7.07,1,4 min.,
Code Geass: Hangyaku no Lelouch R2 Picture Drama,"Comedy,Slice of Life,Ecchi",3567,3169,7.07,9,5 min. per ep.,
Bishoujo Senshi Sailor Moon Crystal,,3564,1387,7.07,26,24 min. per ep.,
Machine-Doll wa Kizutsukanai,"Action,Fantasy,Ecchi",3561,639,7.08,12,23 min. per ep.,Fall 2013
Nintama Rantarou,,3581,6598,7.07,Unknown,10 min.,Spring 1993
Pokemon Movie 03: Kesshoutou no Teiou Entei,"Action,Adventure,Comedy,Drama,Fantasy",3583,1187,7.07,1,1 hr. 31 min.,
Last Exile: Ginyoku no Fam,"Action,Adventure,Sci-Fi",3560,2868,7.08,21,24 min. per ep.,Fall 2011
Kiratto Pri☆chan Season 3,"Comedy,Slice of Life",3559,10053,7.08,51,24 min. per ep.,Spring 2020
Koi Kaze,"Drama,Romance,Slice of Life",3575,2023,7.07,13,24 min. per ep.,Spring 2004
Kawaii dake ja Nai Shikimori-san,"Comedy,Romance",3555,646,7.08,12,23 min. per ep.,Spring 2022
Kanon,"Drama,Romance,Slice of Life,Supernatural",3554,2358,7.08,13,24 min. per ep.,Winter 2002
Kaiketsu Zorori,"Adventure,Comedy",3553,8676,7.08,52,24 min. per ep.,Winter 2004
Jie Yao,"Boys Love,Comedy,Slice of Life",3552,4573,7.08,13,18 min. per ep.,
Captain Future,"Action,Adventure,Sci-Fi",3535,7806,7.08,52,23 min. per ep.,Fall 1978
Inou-Battle wa Nichijou-kei no Naka de,"Comedy,Romance,Slice of Life,Supernatural",3551,485,7.08,12,24 min. per ep.,Fall 2014
Chicchana Yukitsukai Sugar,"Comedy,Fantasy,Slice of Life",3566,4005,7.07,24,24 min. per ep.,Fall 2001
Bokura no Live Kimi to no Life,,3533,4289,7.08,1,5 min.,
Kiddy Grade: Truth Dawn,"Action,Sci-Fi",3556,7740,7.08,1,1 hr. 30 min.,
Ao no Exorcist: Ura Ex,,3531,1972,7.08,10,1 min. per ep.,
Ze Tian Ji 5th Season,"Action,Adventure,Fantasy",3529,10409,7.08,12,20 min. per ep.,
Aru Tabibito no Nikki,"Adventure,Fantasy",3563,3841,7.07,6,3 min. per ep.,
Wo Shi Jiang Xiaobai (2018),"Drama,Romance,Slice of Life",3527,9168,7.08,1,37 min.,
BanG Dream!: Asonjatta!,,3532,5389,7.08,1,23 min.,
Bishoujo Senshi Sailor Moon R: Make Up! Sailor Senshi,,3565,4562,7.07,1,17 min.,
Appleseed (Movie),"Action,Drama,Sci-Fi",3562,2188,7.07,1,1 hr. 45 min.,
Usavich III,,3525,7765,7.08,13,1 min. per ep.,Fall 2008
Boogiepop wa Warawanai (2019),"Avant Garde,Drama,Horror,Mystery,Supernatural",3534,949,7.08,18,23 min. per ep.,Winter 2019
Versailles no Bara to Onna-tachi,,3526,8313,7.08,1,24 min.,
Tsurikichi Sanpei,"Adventure,Sports",3522,7764,7.08,109,24 min. per ep.,Spring 1980
Saishuu Heiki Kanojo: Another Love Song,"Drama,Romance,Sci-Fi",3519,4474,7.08,2,30 min. per ep.,
Uchuu Senkan Yamato III,"Action,Adventure,Drama,Sci-Fi",3524,7012,7.08,25,24 min. per ep.,Fall 1980
Shakugan no Shana-tan,,3520,3270,7.08,4,6 min. per ep.,
Toaru Majutsu no Index-tan Movie: Endymion no Kiseki - Ga Attari Nakattari,"Action,Sci-Fi",3521,3918,7.08,1,12 min.,
Kikou Souseiki Mospeada,,3557,5980,7.08,25,23 min. per ep.,Fall 1983
Ookami Shoujo to Kuro Ouji,"Comedy,Romance",3517,430,7.08,12,24 min. per ep.,Fall 2014
Muteki Koujin Daitarn 3,,3515,8504,7.08,40,25 min. per ep.,Summer 1978
Yuugo: Koushounin,"Action,Drama,Mystery",3528,5256,7.08,13,24 min. per ep.,Winter 2004
Uchuu Densetsu Ulysses 31,"Action,Adventure,Sci-Fi",3523,7254,7.08,26,25 min. per ep.,Fall 1981
MEMORiES MELODiES,,3511,8629,7.08,1,5 min.,
Marco: Haha wo Tazunete Sanzenri,"Adventure,Drama",3509,9297,7.08,1,1 hr. 29 min.,
Negima!? Haru Special!?,"Comedy,Fantasy,Romance,Ecchi",3516,4271,7.08,1,24 min.,
Wan Jie Du Zun,,3508,10523,7.09,50,10 min. per ep.,
Trinity Seven,"Action,Comedy,Fantasy,Romance,Supernatural,Ecchi",3507,191,7.09,12,24 min. per ep.,Fall 2014
Masuda Kousuke Gekijou Gag Manga Biyori 3,,3510,9004,7.08,12,5 min. per ep.,Spring 2008
Persona 5 the Animation: The Day Breakers,"Action,Fantasy,Supernatural",3518,2610,7.08,1,24 min.,
Mokke,"Mystery,Slice of Life,Supernatural",3513,4829,7.08,24,24 min. per ep.,Fall 2007
Tonari no Kyuuketsuki-san,"Comedy,Girls Love,Slice of Life,Supernatural",3506,1813,7.09,12,23 min. per ep.,Fall 2018
Tetsuwan Atom,"Action,Adventure,Drama,Sci-Fi",3503,5334,7.09,193,26 min. per ep.,Winter 1963
Oshiete! Galko-chan: Natsuyasumitte Hontou Desu ka?,"Comedy,Slice of Life",3495,3622,7.09,1,28 min.,
Momokuri,"Comedy,Romance,Slice of Life",3514,1832,7.08,26,12 min. per ep.,
Seikai no Danshou: Tanjou,"Romance,Sci-Fi",3501,6045,7.09,1,25 min.,
Nonsense Bungaku,,3493,10462,7.09,1,3 min.,
Tokyo Majin Gakuen Kenpucho: Tou,"Action,Drama,Fantasy,Horror,Supernatural",3505,1977,7.09,14,24 min. per ep.,Winter 2007
Mutafukaz,"Action,Sci-Fi",3490,4363,7.09,1,1 hr. 34 min.,
Space Adventure Cobra,"Action,Adventure,Sci-Fi",3502,5758,7.09,1,1 hr. 39 min.,
Anime Himitsu no Hanazono,,3530,7217,7.08,39,25 min. per ep.,Spring 1991
Negima!? Natsu Special!?,"Comedy,Fantasy,Romance,Ecchi",3492,4484,7.09,1,27 min.,
Knight's & Magic,"Action,Fantasy",3486,876,7.09,13,24 min. per ep.,Summer 2017
Nanatsu no Taizai: Eiyuu-tachi wa Hashagu,"Action,Adventure,Fantasy,Supernatural",3491,2195,7.09,1,24 min.,
Mewkledreamy,"Adventure,Fantasy",3512,6636,7.08,48,24 min. per ep.,Spring 2020
One Piece Movie 01,"Action,Adventure,Fantasy",3494,1663,7.09,1,50 min.,
Mobile Suit Gundam: The 08th MS Team - A Battle with the Third Dimension,,3489,5911,7.09,1,9 min.,
Genki Bakuhatsu Ganbaruger,,3483,11256,7.09,47,24 min. per ep.,Spring 1992
Doraemon Movie 11: Nobita to Animal Planet,"Adventure,Comedy,Fantasy,Sci-Fi",3482,6802,7.09,1,1 hr. 40 min.,
Healin' Good♡Precure Movie: Yume no Machi de Kyun! Tto GoGo! Dai Henshin!!,"Action,Fantasy",3484,10024,7.09,1,1 hr. 9 min.,
Digimon X-Evolution,"Action,Adventure,Fantasy,Sci-Fi",3479,4207,7.09,1,1 hr. 20 min.,
Dirty Pair: The Movie,"Action,Adventure,Comedy,Sci-Fi",3480,5990,7.09,1,1 hr. 21 min.,
Bubblegum Crisis Tokyo 2040,"Adventure,Sci-Fi",3476,3221,7.09,26,24 min. per ep.,Fall 1998
Kyoukaisen,,3487,9309,7.09,1,5 min.,
Lostorage Conflated WIXOSS,,3488,3535,7.09,12,23 min. per ep.,Spring 2018
Kikoushi Enma,"Fantasy,Horror,Supernatural,Ecchi",3485,4258,7.09,4,40 min. per ep.,
Tetsuwan Birdy,"Action,Comedy,Sci-Fi",3504,3593,7.09,4,33 min. per ep.,
Aishen Qiaokeli-ing...II,"Comedy,Romance",3472,3510,7.09,15,19 min. per ep.,
Aquarion Evol,"Action,Comedy,Drama,Fantasy,Romance,Sci-Fi",3474,1733,7.09,26,24 min. per ep.,Winter 2012
7 Seeds 2nd Season,"Adventure,Drama,Mystery,Romance,Sci-Fi",3471,2562,7.09,12,24 min. per ep.,
Crayon Shin-chan Movie 12: Arashi wo Yobu! Yuuhi no Kasukabe Boys,"Action,Adventure,Comedy,Fantasy",3478,8377,7.09,1,1 hr. 37 min.,
Doraemon Movie 01: Nobita no Kyouryuu,"Adventure,Comedy",3481,6292,7.09,1,1 hr. 32 min.,
Cobra The Animation,"Action,Adventure,Sci-Fi",3477,6015,7.09,13,24 min. per ep.,Winter 2010
Karneval (TV),"Action,Fantasy,Mystery,Sci-Fi",3466,964,7.10,13,24 min. per ep.,Spring 2013
Jahy-sama wa Kujikenai!,"Comedy,Supernatural",3465,981,7.10,20,23 min. per ep.,Summer 2021
Higepiyo,,3463,6925,7.10,39,5 min. per ep.,Spring 2009
Kuroshitsuji Picture Drama,,3468,4082,7.10,1,17 min.,
Kingyo Chuuihou!,,3467,8976,7.10,54,24 min. per ep.,Winter 1991
Futari wa Precure: Max Heart Movie 2 - Yukizora no Tomodachi,"Comedy,Fantasy",3461,6915,7.10,1,1 hr. 11 min.,
Another World,,3473,3594,7.09,3,10 min. per ep.,
.hack//The Movie: Sekai no Mukou ni,"Action,Adventure,Fantasy,Mystery,Sci-Fi",3470,4464,7.09,1,1 hr. 50 min.,
Ashita no Joe (Movie),"Action,Drama,Sports",3475,7239,7.09,1,2 hr. 33 min.,
Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu Picture Drama,"Action,Comedy",3457,4544,7.10,1,12 min.,
Chibi Maruko-chan: Watashi no Suki na Uta,"Drama,Romance,Slice of Life",3456,10442,7.10,1,1 hr. 33 min.,
Dragon Ball Z Movie 09: Ginga Girigiri!! Bucchigiri no Sugoi Yatsu,"Action,Adventure,Comedy,Fantasy,Sci-Fi",3458,1640,7.10,1,50 min.,
Black★Rock Shooter (OVA),"Action,Drama",3455,1135,7.10,1,52 min.,
Black Cat (TV): Toozakaru Neko,"Action,Adventure,Comedy,Sci-Fi",3454,4100,7.10,1,24 min.,
Anime Sanjuushi,"Adventure,Drama,Romance",3452,7625,7.10,52,28 min. per ep.,Fall 1987
Mahoromatic Summer Special,"Comedy,Romance,Sci-Fi,Ecchi",3469,5391,7.10,1,23 min.,
Hanyou no Yashahime: Sengoku Otogizoushi - Ni no Shou,"Adventure,Comedy,Fantasy,Supernatural",3462,3325,7.10,24,24 min. per ep.,Fall 2021
Druaga no Tou: The Aegis of Uruk - Jil no Bouken,"Adventure,Fantasy",3459,4795,7.10,1,24 min.,
Doraemon Movie 10: Nobita no Nippon Tanjou,"Adventure,Comedy,Fantasy",3404,7916,7.11,1,1 hr. 40 min.,
Fushigi Yuugi Special: Nakago Shikkari Shinasai!,,3460,9094,7.10,2,2 min. per ep.,
Battle Spirits: Brave,"Adventure,Sci-Fi",3453,8185,7.10,50,24 min. per ep.,Fall 2010
Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,"Fantasy,Horror,Mystery,Supernatural",3392,3249,7.12,13,24 min. per ep.,Fall 2003
Dorohedoro: Ma no Omake,"Action,Comedy,Fantasy,Horror",3405,2842,7.11,6,5 min. per ep.,
Digimon Adventure 02 Movies,"Adventure,Fantasy,Sci-Fi",3401,2835,7.11,2,32 min. per ep.,
Kiniro no Corda: Secondo Passo,,3390,3339,7.12,2,25 min. per ep.,
Kazemakase Tsukikage Ran,"Adventure,Comedy",3388,4714,7.12,13,24 min. per ep.,Winter 2000
"Keroro Gunsou Movie 5: Tanjou! Kyuukyoku Keroro, Kiseki no Jikuu-jima, de Arimasu!!",,3389,8462,7.12,1,1 hr. 14 min.,
"Kokoro Magic ""A to Z""",,3391,8739,7.12,1,5 min.,
Final Fantasy VII: On the Way to a Smile - Episode: Denzel,"Action,Fantasy",3406,3784,7.11,1,28 min.,
Alice to Zouroku,"Adventure,Mystery",3451,1613,7.10,12,23 min. per ep.,Spring 2017
Kamisama Kazoku,"Comedy,Drama,Fantasy,Romance",3384,2750,7.12,13,25 min. per ep.,Spring 2006
Dirty Pair OVA,"Adventure,Comedy,Sci-Fi",3403,6566,7.11,10,25 min. per ep.,
Karakuri Circus (TV),"Action,Adventure,Drama,Mystery",3386,1608,7.12,36,24 min. per ep.,Fall 2018
Junkers Come Here,"Drama,Slice of Life",3383,6861,7.12,1,1 hr. 39 min.,
Haiyore! Nyaruko-san: Yasashii Teki no Shitome-kata,"Comedy,Sci-Fi",3380,3473,7.12,1,14 min.,
IGPX: Immortal Grand Prix (2005),"Drama,Sci-Fi",3464,4327,7.10,13,23 min. per ep.,Fall 2005
Guilty Crown: Kiseki - Reassortment,"Action,Sci-Fi",3379,3111,7.12,1,48 min.,
Karin,"Comedy,Romance,Supernatural",3387,1149,7.12,24,23 min. per ep.,Fall 2005
Chibi Maruko-chan Movie,,3377,10028,7.12,1,1 hr. 33 min.,
Hayate no Gotoku! OVA,"Comedy,Romance",3381,5093,7.12,3,24 min. per ep.,
Ao no Exorcist: Kyoto Fujouou-hen OVA,"Action,Fantasy,Supernatural",3374,2290,7.12,2,24 min. per ep.,
Anyamal Tantei Kiruminzoo,,3373,6221,7.12,50,23 min. per ep.,Fall 2009
Digimon Xros Wars: Aku no Death General to Nanatsu no Oukoku,"Action,Adventure,Comedy,Fantasy",3402,3762,7.11,24,25 min. per ep.,Spring 2011
Ai Yori Aoshi,"Comedy,Drama,Romance,Slice of Life",3371,1693,7.12,24,23 min. per ep.,Spring 2002
Aoi Hana,"Girls Love,Romance,Slice of Life",3375,1849,7.12,11,22 min. per ep.,Summer 2009
Burn the Witch,"Action,Fantasy",3376,1012,7.12,3,21 min. per ep.,
Ze Tian Ji 4th Season,"Action,Adventure,Fantasy",3369,9642,7.12,12,20 min. per ep.,
Yinhun x He Wei Dao,,3367,6333,7.12,3,3 min. per ep.,
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.: Menma e no Tegami,"Comedy,Drama",3372,4012,7.12,1,12 min.,
Yu☆Gi☆Oh! Movie: Chou Yuugou! Toki wo Koeta Kizuna,,3368,2813,7.12,1,49 min.,
30-pun de Wakaru! Kore made no Love Live!,,3370,5704,7.12,2,30 min. per ep.,
Hokuto no Ken: Raoh Gaiden Ten no Haoh,"Action,Drama",3382,5231,7.12,13,24 min. per ep.,Fall 2008
Kanashimi no Belladonna,"Avant Garde,Drama",3385,3201,7.12,1,1 hr. 27 min.,
Tetsuwan Atom (1980),"Action,Adventure,Sci-Fi",3362,5143,7.12,52,24 min. per ep.,Fall 1980
Virtua Fighter,"Action,Adventure,Comedy",3365,5617,7.12,35,25 min. per ep.,Fall 1995
Tengen Toppa Gurren Lagann: Kirameki★Yoko Box - Pieces of Sweet Stars,,3359,3516,7.12,1,4 min.,
Tenchi Muyou! Manatsu no Eve,"Action,Comedy,Sci-Fi",3358,4747,7.12,1,59 min.,
Tenjoubito to Akutobito Saigo no Tatakai,"Action,Fantasy,Supernatural",3360,6158,7.12,1,1 hr. 30 min.,
Shikioriori,"Drama,Romance,Slice of Life",3357,1262,7.12,3,26 min. per ep.,
Yes ka No ka Hanbun ka,"Boys Love,Drama",3366,2909,7.12,1,53 min.,
Shakugan no Shana-tan Movie,"Adventure,Comedy,Fantasy",3356,3877,7.12,1,5 min.,
Prayer X,,3353,10378,7.12,1,3 min.,
Rurouni Kenshin: Meiji Kenkaku Romantan - Shin Kyoto-hen,"Action,Drama",3354,3740,7.12,2,46 min. per ep.,
Saraba Uchuu Senkan Yamato: Ai no Senshi-tachi,"Action,Drama,Sci-Fi",3355,8087,7.12,1,2 hr. 32 min.,
Mobile Suit Zeta Gundam: A New Translation - Heir to the Stars,"Drama,Sci-Fi",3351,5212,7.12,1,1 hr. 34 min.,
Nanatsu no Taizai Movie 2: Hikari ni Norowareshi Mono-tachi,"Action,Adventure,Fantasy,Supernatural",3334,2493,7.13,1,1 hr. 19 min.,
Toriko Movie: Bishokushin no Special Menu,"Action,Adventure,Comedy,Fantasy",3363,6642,7.12,1,1 hr. 21 min.,
Urara Meirochou,"Comedy,Fantasy,Slice of Life",3364,1480,7.12,12,24 min. per ep.,Winter 2017
Doraemon Movie 13: Nobita to Kumo no Oukoku,"Adventure,Comedy",3378,6657,7.12,1,1 hr. 40 min.,
Tennis no Ouji-sama: Another Story - Kako to Mirai no Message Specials,,3361,6791,7.12,2,3 min. per ep.,
Madan no Ou to Vanadis,"Adventure,Fantasy,Romance,Ecchi",3331,600,7.13,13,24 min. per ep.,Fall 2014
Koukaku Kidoutai: Stand Alone Complex - Tachikoma na Hibi,"Comedy,Sci-Fi",3329,3815,7.13,26,1 min. per ep.,
Nobunaga no Shinobi: Ise Kanegasaki-hen,,3335,5511,7.13,26,3 min. per ep.,Spring 2017
Kindaichi Shounen no Jikenbo Returns 2nd Season: Akechi Keibu no Jikenbo,,3327,10107,7.13,1,47 min.,
Kodomo no Omocha,"Comedy,Drama",3328,6881,7.13,1,30 min.,
Nanatsu no Taizai Movie 1: Tenkuu no Torawarebito,"Action,Adventure,Fantasy,Supernatural",3333,747,7.13,1,1 hr. 39 min.,
Mahou Shoujo Madoka★Magica: Concept Movie,"Drama,Suspense",3332,3761,7.13,1,4 min.,
Kenyuu Densetsu Yaiba,"Action,Comedy,Fantasy",3325,5962,7.13,52,22 min. per ep.,Spring 1993
Kenkou Zenrakei Suieibu Umishou,"Comedy,Sports,Ecchi",3324,3114,7.13,13,25 min. per ep.,Summer 2007
Himouto! Umaru-chan,,3321,267,7.13,12,24 min. per ep.,Summer 2015
Hatenkou Yuugi,"Adventure,Comedy,Drama,Fantasy,Romance",3320,3149,7.13,10,24 min. per ep.,Winter 2008
Junketsu no Maria,"Comedy,Fantasy,Romance",3323,1325,7.13,12,24 min. per ep.,Winter 2015
Fushigi Mahou Fun Fun Pharmacy,,3316,8990,7.13,48,12 min. per ep.,Winter 1998
Haikara-san ga Tooru,"Drama,Romance,Slice of Life",3317,7157,7.13,42,24 min. per ep.,Summer 1978
D.C.if: Da Capo if,"Drama,Romance",3314,4690,7.13,2,26 min. per ep.,
Code Geass: Boukoku no Akito 5 - Itoshiki Mono-tachi e,,3313,2011,7.13,1,59 min.,
Chuunibyou demo Koi ga Shitai! Ren Specials,,3312,2319,7.13,7,3 min. per ep.,
Chikyuu Bouei Kigyou Dai-Guard,"Adventure,Comedy,Sci-Fi",3311,5899,7.13,26,25 min. per ep.,Fall 1999
Jigoku Sensei Nube OVA,"Action,Comedy,Horror,Supernatural",3322,8760,7.13,3,30 min. per ep.,
Dragon Ball Movie 4: Saikyou e no Michi,"Action,Adventure,Comedy,Fantasy,Sci-Fi",3315,2526,7.13,1,1 hr. 14 min.,
Blood Lad: Wagahai wa Neko de wa Nai,"Action,Comedy,Supernatural",3309,1697,7.13,1,27 min.,
Kimi ga Aruji de Shitsuji ga Ore de,"Comedy,Romance,Ecchi",3326,1606,7.13,13,25 min. per ep.,Winter 2008
One Piece Movie 02: Nejimaki-jima no Daibouken,"Action,Adventure,Fantasy",3352,1997,7.12,1,55 min.,
Angolmois: Genkou Kassenki,"Action,Drama",3307,2527,7.13,12,23 min. per ep.,Summer 2018
Ai Yori Aoshi: Enishi,"Comedy,Drama,Romance,Slice of Life",3305,2492,7.13,12,23 min. per ep.,Fall 2003
Lupin III: $1 Money Wars,"Action,Adventure,Comedy,Mystery",3330,6625,7.13,1,1 hr. 30 min.,
Boku no Chikyuu wo Mamotte,"Drama,Sci-Fi",3310,4499,7.13,6,30 min. per ep.,
Amanchu! Advance,"Comedy,Slice of Life",3306,3462,7.13,12,23 min. per ep.,Spring 2018
Macross 7,"Action,Adventure,Comedy,Drama,Romance,Sci-Fi",3303,3605,7.14,49,25 min. per ep.,Fall 1994
B'T X Neo,"Action,Adventure",3308,7557,7.13,14,24 min. per ep.,
Halzion,,3318,12286,7.13,1,3 min.,
Mahou no Stage Fancy Lala,"Comedy,Drama,Romance",3304,5390,7.14,26,24 min. per ep.,Spring 1998
Galaxy Angel 3 Specials,"Comedy,Sci-Fi",3286,8310,7.14,2,13 min. per ep.,
Densetsu no Yuusha Da Garn,,3283,8080,7.14,46,24 min. per ep.,Winter 1992
Lupin III: Dead or Alive,"Action,Adventure,Comedy,Mystery",3302,5484,7.14,1,1 hr. 37 min.,
Happy Birthday: Inochi Kagayaku Toki,"Drama,Slice of Life",3319,8321,7.13,1,1 hr. 19 min.,
Cardfight!! Vanguard: Link Joker-hen,"Action,Adventure",3281,4131,7.14,59,24 min. per ep.,Winter 2013
Denpa Onna to Seishun Otoko,"Comedy,Sci-Fi,Slice of Life",3282,684,7.14,12,24 min. per ep.,Spring 2011
Buddy Complex,"Action,Sci-Fi",3280,1996,7.14,13,24 min. per ep.,Winter 2014
Aikatsu Friends!: Kagayaki no Jewel,,3278,7628,7.14,26,24 min. per ep.,Spring 2019
Biohazard: Damnation,"Action,Horror,Sci-Fi",3279,3883,7.14,1,1 hr. 37 min.,
.hack//Quantum,"Action,Adventure,Fantasy,Sci-Fi",3277,3022,7.14,3,26 min. per ep.,
Yowamushi Pedal: Re:Generation,,3275,7222,7.14,1,1 hr. 30 min.,
Umisea,"Adventure,Comedy,Slice of Life",3273,8996,7.14,4,4 min. per ep.,
Dinghai Fusheng Lu,"Action,Fantasy",3284,10000,7.14,12,23 min. per ep.,
Uma Musume: Pretty Derby - 1st Anniversary Special Animation,"Comedy,Slice of Life,Sports",3248,9496,7.15,1,7 min.,
Tonari no Yamada-kun,"Comedy,Slice of Life",3271,2916,7.14,1,1 hr. 43 min.,
Tokimeki Tonight,"Comedy,Fantasy,Romance",3270,5971,7.14,34,24 min. per ep.,Fall 1982
Garo: Vanishing Line,"Action,Fantasy,Supernatural",3287,2202,7.14,24,24 min. per ep.,Fall 2017
Soukyuu no Fafner: Dead Aggressor - The Beyond Part 2,"Action,Drama,Sci-Fi",3268,8443,7.14,3,25 min. per ep.,
GA: Geijutsuka Art Design Class,"Comedy,Slice of Life",3285,4298,7.14,12,24 min. per ep.,Summer 2009
Wo Shi Jiang Xiaobai,"Drama,Romance,Slice of Life",3274,6322,7.14,12,21 min. per ep.,
Shin Captain Tsubasa,"Action,Sports",3267,5275,7.14,13,26 min. per ep.,
Rockman.EXE Axess,"Action,Adventure,Comedy,Sci-Fi",3263,4597,7.14,51,24 min. per ep.,Fall 2003
RabbiTube: Creator ni Challenge!,,3261,11646,7.14,16,9 min. per ep.,
Raiyantsuuri no Uta,,3262,10589,7.14,1,1 hr. 30 min.,
Tamayura,"Comedy,Drama,Slice of Life",3269,2949,7.14,4,18 min. per ep.,
Myself; Yourself,"Drama,Romance",3258,1074,7.14,13,25 min. per ep.,Fall 2007
Mudai,"Drama,Romance,Slice of Life",3257,7455,7.14,1,7 min.,
Sayonara Gokko,,3266,8279,7.14,1,2 min.,
Monster Musume no Iru Nichijou OVA,"Comedy,Fantasy,Romance,Ecchi",3256,1751,7.14,2,24 min. per ep.,
One Piece Recap,"Action,Adventure,Fantasy",3259,4226,7.14,1,29 min.,
Yume-iro Pâtissière: Mune Kyun Tropical Island!,,3276,5444,7.14,1,7 min.,
Mobile Suit Gundam SEED C.E.73: Stargazer,,3254,4039,7.14,3,15 min. per ep.,
Mikakunin de Shinkoukei: Kamoniku tte Midori-ppoi Aji ga Suru no ne.,"Comedy,Romance,Slice of Life",3253,2689,7.14,1,11 min.,
YAT Anshin! Uchuu Ryokou,"Adventure,Comedy,Sci-Fi",3252,9801,7.15,50,25 min. per ep.,Fall 1996
Mojakou,"Comedy,Fantasy,Sci-Fi",3255,9365,7.14,74,25 min. per ep.,Fall 1995
Ryuugajou Nanana no Maizoukin (TV),"Adventure,Comedy,Mystery,Supernatural",3238,877,7.15,11,23 min. per ep.,Spring 2014
Rokudenashi Majutsu Koushi to Akashic Records,"Action,Fantasy",3237,266,7.15,12,24 min. per ep.,Spring 2017
Ranma ½: Battle ga Ippai 29-nin no Korinai Yatsura,"Comedy,Slice of Life",3236,7697,7.15,1,24 min.,
Onmyou Taisenki,"Adventure,Fantasy,Supernatural",3234,6910,7.15,52,23 min. per ep.,Fall 2004
Rokujouma no Shinryakusha!? (TV),"Comedy,Supernatural",3264,1161,7.14,12,23 min. per ep.,Summer 2014
One Piece: Jango no Dance Carnival,"Comedy,Fantasy",3233,3150,7.15,1,6 min.,
Offside (TV),"Action,Drama,Sports",3232,8522,7.15,39,23 min. per ep.,Spring 2001
Mouretsu Pirates,,3228,2168,7.15,26,24 min. per ep.,Winter 2012
Pokemon Movie 05: Mizu no Miyako no Mamorigami Latias to Latios,"Adventure,Comedy,Drama,Fantasy",3235,1630,7.15,1,1 hr. 14 min.,
Tonkatsu DJ Agetarou,,3272,5038,7.14,12,9 min. per ep.,Spring 2016
Michi (Movie),"Drama,Slice of Life",3227,11684,7.15,4,13 min. per ep.,
Mermaid Melody Pichi Pichi Pitch Pure,"Adventure,Comedy,Romance",3226,2967,7.15,39,25 min. per ep.,Spring 2004
"Naruto: Shippuuden - Shippuu! ""Konoha Gakuen"" Den",,3229,2371,7.15,1,8 min.,
Mahoromatic: Motto Utsukushii Mono,"Comedy,Drama,Romance,Sci-Fi,Ecchi",3224,3419,7.15,14,24 min. per ep.,Fall 2002
Ginga Kikoutai Majestic Prince Movie: Kakusei no Idenshi,"Action,Sci-Fi",3288,6732,7.14,1,1 hr. 17 min.,
Kyuuketsuhime Miyu (TV),"Action,Drama,Horror",3223,3156,7.15,26,25 min. per ep.,Fall 1997
Kyousou Giga (2012),"Action,Fantasy,Supernatural",3222,3703,7.15,5,10 min. per ep.,
Mayonaka no Occult Koumuin: Hitoribocchi no Kyuuketsuki,"Fantasy,Mystery,Supernatural",3225,5997,7.15,2,27 min. per ep.,
Jaku-Chara Tomozaki-kun,"Drama,Romance",3220,687,7.15,12,23 min. per ep.,Winter 2021
Koukyoushihen Eureka Seven: Pocket ga Niji de Ippai,"Adventure,Romance,Sci-Fi",3221,2827,7.15,1,1 hr. 55 min.,
Hoshi no Koe,"Drama,Romance,Sci-Fi",3219,1313,7.15,1,24 min.,
Hellsing: The Dawn,"Action,Horror,Supernatural",3218,1911,7.15,3,10 min. per ep.,
Fushigi Yuugi OVA,"Adventure,Comedy,Fantasy,Romance",3215,4040,7.15,3,28 min. per ep.,
Druaga no Tou: The Aegis of Uruk,"Adventure,Comedy,Fantasy",3213,1587,7.15,12,25 min. per ep.,Spring 2008
Psycho-Pass: Sinners of the System Case.1 - Tsumi to Batsu,"Action,Sci-Fi",3260,1859,7.14,1,1 hr.,
Fairy Tail x Rave,"Action,Adventure,Fantasy",3214,1517,7.15,1,25 min.,
Doraemon Movie 30: Nobita no Ningyo Daikaisen,"Adventure,Comedy,Fantasy",3210,7085,7.15,1,1 hr. 39 min.,
Doraemon Movie 05: Nobita no Makai Daibouken,,3209,7902,7.15,1,1 hr. 38 min.,
Hayate no Gotoku! Heaven Is a Place on Earth,,3217,3190,7.15,1,1 hr. 9 min.,
Gaiking: Legend of Daiku-Maryu,"Action,Sci-Fi",3216,7649,7.15,39,25 min. per ep.,Fall 2005
Nu Wushen de Canzhuo Spring Festival Special,"Comedy,Gourmet,Slice of Life",3230,10118,7.15,1,10 min.,
Cyborg 009 (1979),"Action,Adventure,Sci-Fi",3206,5796,7.15,50,24 min. per ep.,Spring 1979
Double Decker! Doug & Kirill: Extra,"Action,Comedy,Sci-Fi",3211,6656,7.15,3,24 min. per ep.,
Dokidoki♡Densetsu: Mahoujin Guruguru,"Adventure,Comedy,Fantasy",3208,8176,7.15,38,23 min. per ep.,Spring 2000
Boogiepop wa Warawanai,"Avant Garde,Drama,Horror,Mystery,Supernatural",3204,1552,7.15,12,24 min. per ep.,Winter 2000
Bishounen Tanteidan,,3202,1932,7.15,12,23 min. per ep.,Spring 2021
Bokura wa Minna Kawai-sou Specials,,3203,4551,7.15,14,40 sec. per ep.,
