Title,Genres,Rank,Popularity,Score,Episodes,Episode length,Release Date
Sakigake!! Cromartie Koukou,,700,1441,7.91,26,12 min. per ep.,Fall 2003
Hidamari Sketch x ☆☆☆,"Comedy,Slice of Life",692,3746,7.91,12,24 min. per ep.,Winter 2010
Drifters,"Action,Adventure,Comedy,Fantasy",689,359,7.91,12,23 min. per ep.,Fall 2016
Princess Connect! Re:Dive Season 2,"Action,Adventure,Comedy,Fantasy",698,1848,7.91,12,23 min. per ep.,Winter 2022
Aria the Avvenire,"Fantasy,Sci-Fi,Slice of Life",687,3822,7.91,3,21 min. per ep.,
Kotonoha no Niwa,"Drama,Romance,Slice of Life",685,189,7.92,1,46 min.,
Fate/Grand Order: Zettai Majuu Sensen Babylonia,"Action,Fantasy,Supernatural",650,836,7.94,21,23 min. per ep.,Fall 2019
Kaleido Star,"Comedy,Drama,Fantasy",684,2039,7.92,51,23 min. per ep.,Spring 2003
JoJo no Kimyou na Bouken (TV),"Action,Adventure,Supernatural",683,65,7.92,26,24 min. per ep.,Fall 2012
Eyeshield 21,,681,1148,7.92,145,23 min. per ep.,Spring 2005
ef: A Tale of Memories.,"Drama,Mystery,Romance",690,813,7.91,12,24 min. per ep.,Fall 2007
Detective Conan OVA 09: The Stranger in 10 Years...,"Adventure,Comedy,Mystery",680,4225,7.92,1,22 min.,
Macross,"Action,Romance,Sci-Fi",686,1780,7.92,36,25 min. per ep.,Fall 1982
Hanasaku Iroha,"Comedy,Drama,Slice of Life",682,617,7.92,26,24 min. per ep.,Spring 2011
Carnival Phantasm,"Comedy,Supernatural",746,1065,7.88,12,14 min. per ep.,
Inochi no Tabekata,"Horror,Supernatural",750,8310,7.88,1,3 min.,
Jormungand: Perfect Order,"Action,Adventure",694,1113,7.91,12,24 min. per ep.,Fall 2012
Bungou Stray Dogs: Dead Apple,"Action,Comedy,Mystery,Supernatural",688,905,7.91,1,1 hr. 30 min.,
Detective Conan Movie 02: The Fourteenth Target,"Adventure,Comedy,Mystery",747,2465,7.88,1,1 hr. 39 min.,
Initial D Third Stage,"Action,Drama,Romance",749,1291,7.88,1,1 hr. 45 min.,
Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,"Comedy,Fantasy",799,528,7.85,1,23 min.,
Haikyuu!! Riku vs. Kuu,,850,798,7.82,2,22 min. per ep.,
Hoozuki no Reitetsu 2nd Season,"Comedy,Fantasy,Supernatural",748,2872,7.88,13,23 min. per ep.,Fall 2017
Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,"Action,Adventure,Drama,Fantasy,Horror,Supernatural",745,1039,7.88,1,1 hr. 32 min.,
Lupin the IIIrd: Chikemuri no Ishikawa Goemon,"Action,Adventure,Drama",800,3264,7.85,1,53 min.,
Kageki Shoujo!!,,900,2267,7.79,13,24 min. per ep.,Summer 2021
Grisaia no Rakuen,"Drama,Romance",898,498,7.79,10,23 min. per ep.,Spring 2015
Kara no Kyoukai Movie 4: Garan no Dou,"Action,Mystery,Supernatural,Suspense",798,983,7.85,1,46 min.,
High Score Girl,,899,871,7.79,12,24 min. per ep.,Summer 2018
The Disappearance of Conan Edogawa: The Worst Two Days in History,"Adventure,Comedy,Mystery",950,5211,7.77,1,1 hr. 31 min.,
Seitokai Yakuindomo OVA,,947,1496,7.77,8,26 min. per ep.,
Zan Sayonara Zetsubou Sensei,,744,1744,7.88,13,23 min. per ep.,Summer 2009
Bungou Stray Dogs,"Action,Comedy,Mystery,Supernatural",848,91,7.82,12,23 min. per ep.,Spring 2016
Shiki Specials,"Horror,Mystery,Supernatural,Suspense",948,2265,7.77,2,23 min. per ep.,
Ranma ½ OVA,"Comedy,Romance",999,3482,7.74,6,30 min. per ep.,
Tentai Senshi Sunred,,949,4095,7.77,26,13 min. per ep.,Fall 2008
Neko no Ongaeshi,"Adventure,Drama,Fantasy",998,833,7.74,1,1 hr. 15 min.,
Udon no Kuni no Kiniro Kemari,"Fantasy,Slice of Life",996,1500,7.75,12,22 min. per ep.,Fall 2016
Tiger & Bunny Movie 2: The Rising,"Action,Comedy,Mystery",995,3574,7.75,1,1 hr. 40 min.,
Tegamibachi Reverse,"Adventure,Fantasy,Supernatural",994,2401,7.75,25,20 min. per ep.,Fall 2010
Tamayura: Sotsugyou Shashin Part 2 - Hibiki,"Comedy,Drama,Slice of Life",993,5748,7.75,1,52 min.,
Mairimashita! Iruma-kun,"Comedy,Fantasy,Supernatural",997,516,7.74,23,23 min. per ep.,Fall 2019
Break Blade Movie 2: Ketsubetsu no Michi,"Action,Fantasy",1050,2390,7.72,1,51 min.,
Watashi no Ashinaga Ojisan,"Comedy,Romance,Slice of Life",1048,4764,7.72,40,23 min. per ep.,Winter 1990
K-On!!: Keikaku!,"Comedy,Slice of Life",797,1568,7.85,1,23 min.,
Rozen Maiden: Ouvertüre,"Action,Comedy,Drama",1045,2442,7.72,2,24 min. per ep.,
One Piece: Episode of Sabo - 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi,"Action,Adventure,Fantasy",1043,3225,7.72,1,1 hr. 46 min.,
Capeta,,849,3871,7.82,52,23 min. per ep.,Fall 2005
Ani ni Tsukeru Kusuri wa Nai! 3,"Comedy,Slice of Life",1099,3365,7.70,12,3 min. per ep.,Fall 2019
Baka to Test to Shoukanjuu Ni!,"Comedy,Romance",1100,534,7.70,13,24 min. per ep.,Summer 2011
Tsuki ga Michibiku Isekai Douchuu,"Action,Adventure,Comedy,Fantasy",1047,723,7.72,12,23 min. per ep.,Summer 2021
Kami nomi zo Shiru Sekai,"Comedy,Romance,Supernatural",1150,300,7.68,12,23 min. per ep.,Fall 2010
Akage no Anne,"Drama,Slice of Life",1049,3613,7.72,50,25 min. per ep.,Winter 1979
Ichigo Mashimaro Encore,"Comedy,Slice of Life",1149,4127,7.68,2,27 min. per ep.,
Giovanni no Shima,,1148,3542,7.68,1,1 hr. 42 min.,
Saint Seiya,"Adventure,Fantasy,Sci-Fi",1000,1139,7.74,114,24 min. per ep.,Fall 1986
Tetsuwan Birdy Decode:02,"Action,Comedy,Sci-Fi",1046,2678,7.72,12,23 min. per ep.,Winter 2009
Urusei Yatsura,"Action,Adventure,Comedy,Drama,Romance,Sci-Fi",1098,2181,7.70,195,25 min. per ep.,Fall 1981
Inuyashiki,"Action,Drama,Sci-Fi",1200,316,7.66,11,22 min. per ep.,Fall 2017
Ghost (Music),,1198,11442,7.66,1,4 min.,
Psycho-Pass Movie,"Action,Sci-Fi",1044,802,7.72,1,1 hr. 53 min.,
Hai to Gensou no Grimgar,"Action,Adventure,Drama,Fantasy",1199,241,7.66,12,24 min. per ep.,Winter 2016
Koyomimonogatari,"Comedy,Mystery,Supernatural",1250,882,7.64,12,14 min. per ep.,
Jungle wa Itsumo Hare nochi Guu Final,"Comedy,Slice of Life",1249,5629,7.64,7,26 min. per ep.,
One Piece Movie 06: Omatsuri Danshaku to Himitsu no Shima,"Action,Adventure,Drama,Fantasy",1042,1949,7.72,1,1 hr. 31 min.,
Initial D Battle Stage 2,"Action,Drama",1248,3657,7.64,1,1 hr. 20 min.,
Huyao Xiao Hongniang: Yue Hong,"Comedy,Romance,Supernatural",1246,5048,7.64,13,14 min. per ep.,
Fairy Tail (2014),"Action,Adventure,Fantasy",1197,146,7.66,102,24 min. per ep.,Spring 2014
Tamayura: Sotsugyou Shashin Part 1 - Kizashi,"Comedy,Drama,Slice of Life",1300,5322,7.62,1,52 min.,
Shin Tennis no Ouji-sama OVA vs. Genius 10,,1297,4624,7.62,10,24 min. per ep.,
Hana yori Dango,"Drama,Romance",1244,2491,7.64,51,25 min. per ep.,Fall 1996
Ryuu to Sobakasu no Hime,"Drama,Fantasy",1296,1779,7.62,1,2 hr. 2 min.,
Hug tto! Precure♡Futari wa Precure Movie: All Stars Memories,"Action,Fantasy",1245,8431,7.64,1,1 hr. 13 min.,
Fruits Basket,"Drama,Fantasy,Romance",1147,357,7.68,26,24 min. per ep.,Summer 2001
Ajin Part 2,"Action,Horror,Mystery,Supernatural",1349,734,7.60,13,24 min. per ep.,Fall 2016
Ashita no Nadja,"Adventure,Drama,Romance",1350,3548,7.60,50,24 min. per ep.,Winter 2003
Yoru wa Honoka,,1348,10446,7.60,1,3 min.,
Towa no Quon 6: Towa no Quon,"Action,Sci-Fi,Supernatural",1347,3137,7.60,1,48 min.,
Shoujo Kakumei Utena: Adolescence Mokushiroku,"Avant Garde,Drama,Fantasy,Girls Love,Romance",1298,2765,7.62,1,1 hr. 30 min.,
Soredemo Sekai wa Utsukushii,"Adventure,Fantasy,Romance",1299,705,7.62,12,22 min. per ep.,Spring 2014
"Yondemasu yo, Azazel-san.","Comedy,Supernatural",1399,3500,7.58,4,21 min. per ep.,
